location,variable,label,manual_n,wiggle_n,manual_mean,wiggle_mean,manual_median,wiggle_median,manual_std,wiggle_std,mean_diff_wiggle_minus_manual,median_diff_wiggle_minus_manual,cohens_d_wiggle_vs_manual,cliffs_delta_wiggle_vs_manual,auc_wiggle_gt_manual,mannwhitney_pvalue,ks_pvalue,mannwhitney_qvalue,abs_cliffs_delta,abs_cohens_d
Ireland,La_t_mean_prev_48h,"Mean turbulent
Langmuir number",25,2,0.36613236346757466,0.3697441115958823,0.3665499315857076,0.3697441115958823,0.012913944239452945,0.006801919848553317,0.0036117481283076125,0.0031941800101746853,0.28380970713190046,0.26,0.63,0.5785001530280085,0.6552706552706554,0.8412651399168632,0.26,0.28380970713190046
Ireland,turning_mean_prev_48h_deg,"Mean turning
previous 48 h (deg/h)",25,2,6.886530612244898,7.1020408163265305,6.326530612244898,7.1020408163265305,3.7024793671044964,0.5195070229125655,0.21551020408163257,0.7755102040816322,0.05938291550615789,0.22,0.61,0.6433275117249333,0.5185185185185186,0.8412651399168632,0.22,0.05938291550615789
Ireland,turning_total_prev_48h_deg,"Total turning
previous 48 h (deg)",25,2,337.44,348.0,310.0,348.0,181.4214889881203,25.45584412271571,10.560000000000002,38.0,0.05938291550615793,0.22,0.61,0.6433275117249333,0.5185185185185186,0.8412651399168632,0.22,0.05938291550615793
Ireland,integrated_supercriticality_prev_48h,"Integrated supercriticality
previous 48 h",25,2,17.144796111363362,17.387082540170844,17.31195972566524,17.387082540170844,0.8092266606929075,0.34683019829884876,0.24228642880748197,0.07512281450560465,0.30441608529870906,0.22,0.61,0.6433781884181289,0.7692307692307693,0.8412651399168632,0.22,0.30441608529870906
Ireland,gust_mean_prev_48h,"Mean gust
previous 48 h (m/s)",25,2,8.865877551020407,7.808163265306122,8.487755102040817,7.808163265306122,2.6270220404057234,1.3247429084270421,-1.057714285714285,-0.6795918367346943,-0.4087712479500946,-0.18,0.41,0.7110959658286234,0.7692307692307693,0.8412651399168632,0.18,0.4087712479500946
Ireland,wind_mean_prev_48h,"Mean wind
previous 48 h (m/s)",25,2,4.249281632653061,3.8120408163265305,4.169183673469387,3.8120408163265305,1.2425131852057931,0.6133069020495562,-0.4372408163265309,-0.35714285714285676,-0.3573475063939759,-0.14,0.43,0.7811747727799444,0.7692307692307693,0.8412651399168632,0.14,0.3573475063939759
Ireland,Hs_mean_prev_48h,"Mean significant
wave height (m)",25,2,0.2658586506355984,0.23850014673274889,0.260844772075771,0.23850014673274889,0.07773430815852943,0.038371516250443334,-0.027358503902849496,-0.022344625343022118,-0.3573966500227454,-0.14,0.43,0.7811747727799444,0.7692307692307693,0.8412651399168632,0.14,0.3573966500227454
Ireland,lambda_p_mean_prev_48h,"Mean peak wavelength
previous 48 h (m)",25,2,8.92093963569264,8.251265049146822,8.80661068712538,8.251265049146822,1.8481036284916903,0.9779956935486995,-0.6696745865458187,-0.555345637978558,-0.36769082845979695,-0.14,0.43,0.7811747727799444,0.7692307692307693,0.8412651399168632,0.14,0.36769082845979695
Ireland,D_max_mean_prev_48h,"Mean max divergence
previous 48 h",25,2,0.042630855860119964,0.03831346943089045,0.0418991899885874,0.03831346943089045,0.012243282897616144,0.006073577777443263,-0.0043173864292295125,-0.0035857205576969517,-0.35807350563481155,-0.14,0.43,0.7811747727799444,0.7692307692307693,0.8412651399168632,0.14,0.35807350563481155
Ireland,hours_supercritical_prev_48h,"Supercritical hours
previous 48 h",25,2,49.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,,0.0,0.5,1.0,1.0,1.0,0.0,
